image_path,caption
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16381_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16382_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16383_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16384_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16385_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16386_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16387_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16388_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16389_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16390_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16391_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16392_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16393_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16394_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16395_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16396_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16397_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16398_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16399_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_163_endo.png,"Laparoscopic view showing abdominal wall, fat, gallbladder, liver. Instrument(s) present: grasper."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16400_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16401_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16402_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16403_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16404_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16405_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16406_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16407_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16408_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16409_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16410_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16411_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16412_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16413_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16414_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16415_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16416_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16417_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16418_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16419_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16420_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16421_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: L-hook electrocautery, grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16422_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16423_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16424_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16425_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16426_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16427_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16428_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16429_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16430_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16431_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16432_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16433_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16434_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16435_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16436_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16437_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16438_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16439_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16440_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16441_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16442_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16443_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16444_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16445_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16446_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16447_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16448_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16449_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16450_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16451_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16452_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16453_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16454_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16455_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16456_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16457_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16458_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16459_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16460_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16461_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16462_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16463_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16464_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16465_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16466_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16467_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16468_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16469_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16470_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16471_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16472_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16473_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16474_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16475_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16476_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16477_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16478_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16479_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16480_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16481_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16482_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16483_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16484_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16485_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16486_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16487_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16488_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16489_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16490_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16491_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
f:\World_Agent_Enoscopy\datasets\CholecSeg8k\images\video01_frame_16492_endo.png,"Laparoscopic view showing abdominal wall, blood, connective tissue, cystic duct, fat, gallbladder, gastrointestinal tract, liver. Instrument(s) present: grasper. Bleeding is visible in the field."
