dataset,sequence_id,modality,frames_dir,num_frames,has_depth,has_mask,has_stereo,split,sample_frame,domain
STIR,STIRChallenge_2024\09\right\seq41\frames\00376240ms-00381680ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/09/right/seq41/frames/00376240ms-00381680ms-visible_frames,17,False,False,False,val,datasets/STIR/STIRChallenge_2024/09/right/seq41/frames/00376240ms-00381680ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\left\seq01,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq01,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/left/seq01/00157280ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\left\seq01\frames\00157520ms-00178640ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq01/frames/00157520ms-00178640ms-visible_frames,66,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/left/seq01/frames/00157520ms-00178640ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\left\seq08,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq08,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/left/seq08/00937800ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\left\seq08\frames\00938040ms-00973160ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq08/frames/00938040ms-00973160ms-visible_frames,110,False,False,False,test,datasets/STIR/STIRChallenge_2024/11/left/seq08/frames/00938040ms-00973160ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\left\seq09,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq09,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/left/seq09/00976920ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\left\seq09\frames\00977160ms-01057400ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/left/seq09/frames/00977160ms-01057400ms-visible_frames,251,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/left/seq09/frames/00977160ms-01057400ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\right\seq01,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq01,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/right/seq01/00157280ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\right\seq01\frames\00157520ms-00178640ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq01/frames/00157520ms-00178640ms-visible_frames,66,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/right/seq01/frames/00157520ms-00178640ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\right\seq08,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq08,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/right/seq08/00937800ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\right\seq08\frames\00938040ms-00973160ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq08/frames/00938040ms-00973160ms-visible_frames,110,False,False,False,test,datasets/STIR/STIRChallenge_2024/11/right/seq08/frames/00938040ms-00973160ms-visible_frames/frame_000000.jpg,laparo
STIR,STIRChallenge_2024\11\right\seq09,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq09,2,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/right/seq09/00976920ms_icgstart.png,laparo
STIR,STIRChallenge_2024\11\right\seq09\frames\00977160ms-01057400ms-visible_frames,rgb,datasets/STIR/STIRChallenge_2024/11/right/seq09/frames/00977160ms-01057400ms-visible_frames,251,False,False,False,train,datasets/STIR/STIRChallenge_2024/11/right/seq09/frames/00977160ms-01057400ms-visible_frames/frame_000000.jpg,laparo
TrackVes,EV1\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV1,-1,False,False,False,val,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV1/videoLeft.avi,laparo
TrackVes,EV2\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV2,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV2/videoLeft.avi,laparo
TrackVes,EV3\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV3,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/EV3/videoLeft.avi,laparo
TrackVes,IV1\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV1,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV1/videoLeft.avi,laparo
TrackVes,IV2\videLeft.mp4,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV2,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV2/videLeft.mp4,laparo
TrackVes,IV3\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV3,-1,False,False,False,val,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV3/videoLeft.avi,laparo
TrackVes,IV4\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV4,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV4/videoLeft.avi,laparo
TrackVes,IV5\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV5,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV5/videoLeft.avi,laparo
TrackVes,IV6\videoLeft.avi,video,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV6,-1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/IV6/videoLeft.avi,laparo
TrackVes,.,rgb,DATASETS_ROOT/TrackVes/TrackVes/TrackVes,1,False,False,False,train,DATASETS_ROOT/TrackVes/TrackVes/TrackVes/TrackVesDataset_picture.png,laparo
EndoVis_InstrumentTracking,Tracking_Robotic_Training\Tracking_Robotic_Training\Training\Dataset1\Video.avi,video,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset1,-1,False,False,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset1/Video.avi,laparo
EndoVis_InstrumentTracking,Tracking_Robotic_Training\Tracking_Robotic_Training\Training\Dataset2\Video.avi,video,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset2,-1,False,False,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset2/Video.avi,laparo
EndoVis_InstrumentTracking,Tracking_Robotic_Training\Tracking_Robotic_Training\Training\Dataset3\Video.avi,video,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset3,-1,False,False,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset3/Video.avi,laparo
EndoVis_InstrumentTracking,Tracking_Robotic_Training\Tracking_Robotic_Training\Training\Dataset4\Video.avi,video,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset4,-1,False,False,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/Dataset4/Video.avi,laparo
EndoVis_InstrumentTracking,Tracking_Rigid_Training\Tracking_Rigid_Training\Training\OP1\Raw,rgb,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP1/Raw,1122,False,True,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP1/Raw/img_00_raw.png,laparo
EndoVis_InstrumentTracking,Tracking_Rigid_Training\Tracking_Rigid_Training\Training\OP2\Raw,rgb,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP2/Raw,1125,False,True,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP2/Raw/img_00_raw.png,laparo
EndoVis_InstrumentTracking,Tracking_Rigid_Training\Tracking_Rigid_Training\Training\OP3\Raw,rgb,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP3/Raw,1163,False,True,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP3/Raw/img_00_raw.png,laparo
EndoVis_InstrumentTracking,Tracking_Rigid_Training\Tracking_Rigid_Training\Training\OP4\Raw,rgb,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP4/Raw,1125,False,True,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Rigid_Training/Tracking_Rigid_Training/Training/OP4/Raw/img_00_raw.png,laparo
EndoVis_InstrumentTracking,Tracking_Robotic_Training\Tracking_Robotic_Training\Training,rgb,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training,1,False,False,False,train,DATASETS_ROOT/EndoVis_InstrumentTracking/Tracking_Robotic_Training/Tracking_Robotic_Training/Training/guide.png,laparo
SurgT,test\case_1\1\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/1,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/1/video.mp4,laparo
SurgT,test\case_1\2\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/2,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/2/video.mp4,laparo
SurgT,test\case_1\3\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/3,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/3/video.mp4,laparo
SurgT,test\case_1\4\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/4,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_1/4/video.mp4,laparo
SurgT,test\case_2\1\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/1,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/1/video.mp4,laparo
SurgT,test\case_2\2\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/2,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/2/video.mp4,laparo
SurgT,test\case_2\3\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/3,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/3/video.mp4,laparo
SurgT,test\case_2\4\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/4,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_2/4/video.mp4,laparo
SurgT,test\case_3\1\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/1,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/1/video.mp4,laparo
SurgT,test\case_3\2\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/2,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/2/video.mp4,laparo
SurgT,test\case_3\3\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/3,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/3/video.mp4,laparo
SurgT,test\case_3\4\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/4,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_3/4/video.mp4,laparo
SurgT,test\case_4\1\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/1,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/1/video.avi,laparo
SurgT,test\case_4\2\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/2,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/2/video.avi,laparo
SurgT,test\case_4\3\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/3,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/3/video.avi,laparo
SurgT,test\case_4\4\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/4,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_4/4/video.avi,laparo
SurgT,test\case_5\1\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/1,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/1/video.avi,laparo
SurgT,test\case_5\2\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/2,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/2/video.avi,laparo
SurgT,test\case_5\3\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/3,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/3/video.avi,laparo
SurgT,test\case_5\4\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/4,-1,False,False,False,test,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/test/case_5/4/video.avi,laparo
SurgT,validation\case_1\1\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/1,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/1/video.mp4,laparo
SurgT,validation\case_1\2\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/2,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/2/video.mp4,laparo
SurgT,validation\case_1\3\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/3,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/3/video.mp4,laparo
SurgT,validation\case_1\4\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/4,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_1/4/video.mp4,laparo
SurgT,validation\case_2\1\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/1,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/1/video.mp4,laparo
SurgT,validation\case_2\2\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/2,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/2/video.mp4,laparo
SurgT,validation\case_2\3\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/3,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/3/video.mp4,laparo
SurgT,validation\case_2\4\video.mp4,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/4,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_2/4/video.mp4,laparo
SurgT,validation\case_3\1\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/1,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/1/video.avi,laparo
SurgT,validation\case_3\2\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/2,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/2/video.avi,laparo
SurgT,validation\case_3\3\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/3,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/3/video.avi,laparo
SurgT,validation\case_3\4\video.avi,video,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/4,-1,False,False,False,val,DATASETS_ROOT/Benchmarks/SurgT_benchmarking/data/validation/case_3/4/video.avi,laparo
MIS_own,extracted_frames1\1results,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames1/1results,2173,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames1/1results/camera_poses_visualization.png,laparo
MIS_own,extracted_frames1\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames1/extracted_frames,723,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames1/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames2\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames2/extracted_frames,469,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames2/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames3\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames3/extracted_frames,242,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames3/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames4\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames4/extracted_frames,435,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames4/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames5\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames5/extracted_frames,195,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames5/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames6\extracted_frames,rgb,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames6/extracted_frames,938,False,False,False,train,DATASETS_ROOT/MIS_Videso_1_6/extracted_frames6/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames1\extracted_frames,rgb,DATASETS_ROOT/extracted_frames1/extracted_frames,723,False,False,False,train,DATASETS_ROOT/extracted_frames1/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames2\extracted_frames,rgb,DATASETS_ROOT/extracted_frames2/extracted_frames,469,False,False,False,train,DATASETS_ROOT/extracted_frames2/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames3\extracted_frames,rgb,DATASETS_ROOT/extracted_frames3/extracted_frames,242,False,False,False,train,DATASETS_ROOT/extracted_frames3/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames4\extracted_frames,rgb,DATASETS_ROOT/extracted_frames4/extracted_frames,435,False,False,False,train,DATASETS_ROOT/extracted_frames4/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames5\extracted_frames,rgb,DATASETS_ROOT/extracted_frames5/extracted_frames,195,False,False,False,train,DATASETS_ROOT/extracted_frames5/extracted_frames/frame_000000.jpg,laparo
MIS_own,extracted_frames6\extracted_frames,rgb,DATASETS_ROOT/extracted_frames6/extracted_frames,938,False,False,False,train,DATASETS_ROOT/extracted_frames6/extracted_frames/frame_000000.jpg,laparo
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0220d11b-ab12-4b02-93ce-5d7c205c7043.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0220d11b-ab12-4b02-93ce-5d7c205c7043.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\02817e58-22da-4e62-9bc3-a29ba2c14c59.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/02817e58-22da-4e62-9bc3-a29ba2c14c59.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\057803c8-1a4b-4d65-9cd3-f0fc8968c606.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,test,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/057803c8-1a4b-4d65-9cd3-f0fc8968c606.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\05a868ca-4a74-49d6-8769-b0d62d828d95.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/05a868ca-4a74-49d6-8769-b0d62d828d95.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\05cf1dbe-08e5-4261-9bb3-28abbd346e2e.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/05cf1dbe-08e5-4261-9bb3-28abbd346e2e.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\061d6094-656d-43a9-86be-1eaae62785d6.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,test,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/061d6094-656d-43a9-86be-1eaae62785d6.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0729435b-e613-44a0-87cb-2b5361e8ac84.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0729435b-e613-44a0-87cb-2b5361e8ac84.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\07bf7341-7ddd-44a0-8b31-36842b8761fa.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/07bf7341-7ddd-44a0-8b31-36842b8761fa.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\08c26278-0aa6-40e5-9a0e-f02a2ae5e91d.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,val,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/08c26278-0aa6-40e5-9a0e-f02a2ae5e91d.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\09ac4bbb-0dec-496c-bed4-06180c9ed6f7.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/09ac4bbb-0dec-496c-bed4-06180c9ed6f7.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\09bb6b38-f3e3-4c3b-b917-2df57eb3f10b.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,val,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/09bb6b38-f3e3-4c3b-b917-2df57eb3f10b.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0c35ad30-14c3-4ab9-b60b-b421e568a921.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0c35ad30-14c3-4ab9-b60b-b421e568a921.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0d50b006-c0ad-4e78-9e0e-4d39ba54cdbf.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,val,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0d50b006-c0ad-4e78-9e0e-4d39ba54cdbf.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0df6a544-da6e-42db-97df-393c5bc99441.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0df6a544-da6e-42db-97df-393c5bc99441.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\0ecac639-6e57-4bab-8281-9d6feebe9599.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/0ecac639-6e57-4bab-8281-9d6feebe9599.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\11305ea5-389a-46c8-95f3-94a1af84247d.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/11305ea5-389a-46c8-95f3-94a1af84247d.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\12b56586-2a80-44e3-b0dd-db1f0b500fe0.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/12b56586-2a80-44e3-b0dd-db1f0b500fe0.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\12cfe1ef-ca92-49fe-b8f7-d0571be00580.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/12cfe1ef-ca92-49fe-b8f7-d0571be00580.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\12ebca74-2378-4498-b2c1-44e0a3ae9f9f.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/12ebca74-2378-4498-b2c1-44e0a3ae9f9f.avi,gi
HyperKvasir,hyper-kvasir-videos\hyper-kvasir-videos\videos\14873d0e-96bc-464c-869d-78745fa8cb81.avi,video,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos,-1,False,False,False,train,datasets/HyperKvasir/hyper-kvasir-videos/hyper-kvasir-videos/videos/14873d0e-96bc-464c-869d-78745fa8cb81.avi,gi
